Year,SchoolCode,Site,3-Math-Advanced,3-Math-Satisfactory,3-Reading-Advanced,3-Reading-Satisfactory,4-Math-Advanced,4-Math-Satisfactory,4-Reading-Advanced,4-Reading-Satisfactory,5-Math-Advanced,5-Math-Satisfactory,5-Reading-Advanced,5-Reading-Satisfactory,5-SocialStudies-Advanced,5-SocialStudies-Satisfactory,5-Science-Advanced,5-Science-Satisfactory,5-Writing-Advanced,5-Writing-Satisfactory,6-Math-Advanced,6-Math-Satisfactory,6-Reading-Advanced,6-Reading-Satisfactory,7-Math-Advanced,7-Math-Satisfactory,7-Reading-Advanced,7-Reading-Satisfactory,7-Geography-Advanced,7-Geography-Satisfactory,8-Math-Advanced,8-Math-Satisfactory,8-Reading-Advanced,8-Reading-Satisfactory,8-History-Advanced,8-History-Satisfactory,8-Science-Advanced,8-Science-Satisfactory,8-Writing-Advanced,8-Writing-Satisfactory,EOI-Algebra-Advanced,EOI-Algebra-Satisfactory,EOI-EnglishII-Advanced,EOI-EnglishII-Satisfactory,EOI-USHistory-Advanced,EOI-USHistory-Satisfactory,EOI-Biology-Advanced,EOI-Biology-Satisfactory,EOI-AlgebraII-Advanced,EOI-AlgebraII-Satisfactory,EOI-Geometry-Advanced,EOI-Geometry-Satisfactory,EOI-EnglishIII-Advanced,EOI-EnglishIII-Satisfactory
2016,01I011705,WESTVILLE HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.74,0.15,0.66,0.22,0.75,0.22,0.56,0.11,0.67,0.42,0.87,0.08,0.96
2016,01I025105,STILWELL ELEMENTARY,0.13,0.67,0.03,0.84,0.2,0.86,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,01I025505,STILWELL MIDDLE SCHOOL,,,,,,,,,0.03,0.36,0.03,0.64,0.24,0.76,0.09,0.39,,,0.02,0.63,0.02,0.54,0.04,0.61,0.08,0.79,0.21,0.58,0.11,0.64,0.02,0.53,0.12,0.37,0,0.41,,,0.73,1,,,,,0.08,0.46,,,0.33,1,,
2016,01I025705,STILWELL HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.79,0.08,0.72,0.1,0.49,0.09,0.41,0.1,0.64,0.19,0.69,0.1,0.82
2016,01I030105,CAVE SPRINGS ELEMENTARY,0,0.57,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,01I030505,CAVE SPRINGS MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,0,0.67,0,0.67,0.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2016,01I030705,CAVE SPRINGS HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26,0,0.55,0,0.67,,,0,0.22,0,0.14,0.17,0.67
2016,02I001105,BURLINGTON ELEMENTARY,0.71,1,0,1,0.13,1,0.13,1,0.67,1,0.17,0.67,0.83,1,0.17,0.67,,,0.56,1,0,1,,,,,,,0.8,1,0.3,0.9,0.4,0.7,0.3,0.7,,,,,,,,,,,,,,,,
2016,02I001705,BURLINGTON HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,1,0,0.83,0.33,0.89,0,0.17,,,0.33,0.67,,
2016,02I046105,CHEROKEE ELEMENTARY,0.35,0.77,0.08,0.85,0.43,1,0.07,0.93,0.22,0.81,0.11,0.93,0.56,0.93,0.19,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,02I046510,CHEROKEE MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.69,1,0,0.92,0.21,0.88,0.17,0.83,0.33,0.63,0.21,0.75,0.04,0.92,0.25,0.67,0.08,0.5,,,,,,,,,,,,,,,,
2016,02I046705,CHEROKEE HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.93,0.06,0.81,0.29,0.52,0.12,0.41,,,,,0,0.67
2016,02I093105,TIMBERLAKE ELEMENTARY,0.37,0.95,0.05,0.79,0.56,1,0,0.78,0.64,1,0,0.86,0.07,0.86,0.14,0.64,,,0.62,1,0.31,0.92,0.27,0.93,0.33,0.87,0.4,0.87,,,0.27,0.82,0.36,0.82,0.27,0.82,,,0.5,1,,,,,,,,,,,,
2016,02I093705,TIMBERLAKE HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25,0,0.75,0.11,0.44,0.33,0.53,0.22,0.89,0.57,0.86,0.44,0.89
2016,03C021105,HARMONY ELEMENTARY,0.23,0.69,0.08,0.92,0.38,1,0.08,0.92,0.17,0.75,0,0.67,0.08,0.67,0.17,0.67,,,0.36,0.93,0.07,0.93,0.36,0.93,0.21,1,0.36,0.64,,,0.22,0.78,0.22,0.67,0.22,0.67,,,,,,,,,,,,,,,,
2016,03C022105,LANE ELEMENTARY,0.56,0.94,0.06,0.94,0.25,1,0.13,0.81,0.38,0.63,0,0.5,0.38,0.75,0.13,0.5,,,0.45,0.91,0.09,0.73,0.44,1,0.22,1,0.67,0.89,0.5,0.83,0.5,0.88,0.38,0.75,0.5,1,,,,,,,,,,,,,,,,
2016,03I007105,STRINGTOWN ELEMENTARY,0.78,1,0,1,0.36,0.91,0,0.91,0.23,0.85,0.23,0.92,0.69,0.92,0.15,0.54,,,0.33,1,0.33,0.83,0.3,0.9,0.4,1,0.1,0.7,0.15,0.69,0.38,1,0.08,0.62,0.08,0.69,,,,,,,,,,,,,,,,
2016,03I007705,STRINGTOWN HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,1,0.18,1,0.24,0.94,0.38,0.75,0.36,0.93,0.13,0.5,0.27,0.86
2016,03I015120,ATOKA ELEMENTARY,0.54,0.86,0.04,0.86,0.23,0.9,0.03,0.8,0.3,0.78,0.19,0.92,0.41,0.95,0.16,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,03I015505,McCALL MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.25,0.79,0.09,0.83,0.38,0.88,0.4,0.83,0.38,0.64,0.21,0.64,0.25,0.91,0.16,0.44,0.16,0.59,,,,,,,,,,,,,,,,
2016,03I015705,ATOKA HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.61,0.06,0.75,0.32,0.81,0.19,0.63,0.31,0.93,0.19,0.81,0.28,0.98
2016,03I019105,TUSHKA ELEMENTARY,0.57,1,0.1,1,0.16,0.95,0,0.89,0.37,1,0.05,0.84,0.79,0.95,0.16,0.84,,,0.41,0.94,0.29,0.94,0.57,1,0.29,1,0.48,0.95,0.48,0.87,0.3,0.96,0.43,0.91,0.48,0.91,,,,,,,,,,,,,,,,
2016,03I019705,TUSHKA HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.9,0.1,0.95,0.53,0.97,0.23,0.77,0.44,0.97,0.5,0.95,0.33,1
2016,03I026105,CANEY ELEMENTARY,0.43,0.96,0,0.83,0.29,1,0,0.86,0.17,0.67,0,1,0.17,0.5,0,0.5,,,0.17,1,0,0.92,0.25,1,0.5,1,0.25,0.88,0.07,0.43,0.21,0.79,0.08,0.46,0.08,0.54,,,,,,,,,,,,,,,,
2016,03I026705,CANEY HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.62,0.18,0.76,0,0.4,0.13,0.4,,,,,0,0.87
2016,04I022105,BEAVER ELEMENTARY,0.56,1,0.06,0.94,0.5,1,0.05,0.95,0.05,0.43,0,0.76,0.38,0.81,0.05,0.62,,,0.19,0.56,0,0.69,0.38,0.76,0.33,0.9,0.33,0.81,0.45,0.73,0.23,0.82,0.29,0.71,0.24,0.62,,,,,,,,,,,,,,,,
2016,04I022705,BEAVER HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,0.2,0.88,0.35,0.7,0.14,0.5,0.17,0.5,0.43,0.95,0.15,0.77
2016,04I075105,BALKO ELEMENTARY,0.33,0.83,0,0.83,0.09,0.82,0,0.91,0.46,0.85,0.23,0.92,0.46,0.69,0.08,0.69,,,0.33,1,0.11,1,0.07,0.71,0,0.71,0.21,0.86,0.11,0.56,0.22,1,0,0.33,0.11,0.56,,,,,,,,,,,,,,,,
2016,04I075705,BALKO HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.5,0.3,0.8,0.44,0.78,0,0.17,0,0.67,,,0.44,1
2016,04I123105,FORGAN ELEMENTARY,0.38,0.88,0.13,1,0.14,0.86,0.14,0.86,0.33,0.83,0,1,0.33,0.67,0.5,0.67,,,0.11,1,0,0.89,0.14,1,0.29,1,0.29,0.86,,,,,,,,,,,,,,,,,,,,,,,,
2016,04I123705,FORGAN HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,0.08,0.33,,,0.33,0.92,,
2016,04I128105,TURPIN ELEMENTARY,0.6,0.85,0.1,1,0.61,1,0.07,0.93,0.67,0.95,0.14,1,0.67,1,0.43,0.86,,,0.38,0.88,0.15,0.88,0.21,0.58,0.26,0.79,0.26,0.68,0.2,0.75,0.3,0.87,0.17,0.43,0.26,0.7,,,,,,,,,,,,,,,,
2016,04I128705,TURPIN HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.85,0.12,0.88,0.04,0.4,0,0.46,0,0.58,0.3,0.81,0.27,0.92
2016,05I002105,MERRITT ELEMENTARY,0.4,0.98,0.03,1,0.08,0.79,0,0.81,0.15,0.77,0.08,0.82,0.44,0.85,0.28,0.82,,,0.31,0.79,0.05,0.88,0.15,0.95,0.1,0.8,0.24,0.71,,,,,,,,,,,,,,,,,,,,,,,,
2016,05I002705,MERRITT HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.81,0.26,0.95,0.23,0.9,0.31,0.74,0.43,0.91,0.57,0.93,0.17,0.94
2016,05I006105,FAIRVIEW ELEMENTARY,0.26,0.69,0.03,0.87,0.21,0.75,0.01,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,05I006110,PIONEER ELEMENTARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,05I006115,GRANDVIEW 5TH/6TH GRADE CTR,,,,,,,,,0.3,0.77,0.12,0.74,0.32,0.7,0.11,0.56,,,0.11,0.67,0.02,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,05I006120,NORTHEAST ELEMENTARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,05I006610,8TH & 9TH GRADE CTR,,,,,,,,,,,,,,,,,,,,,,,0.09,0.59,0.14,0.79,0.34,0.74,0.14,0.51,0.25,0.92,0.2,0.62,0.25,0.72,,,0.42,0.92,,,,,,,,,0.92,1,,
2016,05I006705,ELK CITY HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.93,0.32,0.82,0.25,0.68,0.26,0.76,0.31,0.94,0.06,0.89
2016,05I031105,SAYRE ELEMENTARY,0.34,0.85,0,0.8,0.6,1,0.1,0.97,0.52,0.98,0.21,0.9,0.48,0.95,0.52,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,05I031505,SAYRE MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.07,0.37,0.09,0.54,0.23,0.79,0.1,0.67,0.21,0.49,0.21,0.68,0.06,0.68,0.15,0.5,0.32,0.62,,,1,1,,,,,,,,,,,,
2016,05I031705,SAYRE HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.88,0,0.77,,,0.07,0.21,0.42,0.96,0.23,0.73,0.19,0.9
2016,05I051105,ERICK ELEMENTARY,0.17,0.83,0.08,0.96,0.13,0.5,0,0.69,0.2,0.8,0.1,0.9,0.6,0.8,0.1,0.8,,,0.21,0.86,0,0.5,0.41,0.95,0.18,0.82,0.14,0.55,0.42,0.67,0.25,0.83,0.08,0.5,0.08,0.83,,,,,,,,,,,,,,,,
2016,05I051715,ERICK HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,1,0.32,0.95,0.09,0.45,0.18,0.47,0.14,0.57,0.28,0.94,0.14,0.86
2016,06I009105,OKEENE ELEMENTARY,0,0.59,0,0.88,0.33,1,0,0.67,0.6,0.93,0.07,0.93,0.33,0.8,0.07,0.73,,,0.27,0.8,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06I009615,OKEENE JR HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,0.1,0.8,0,0.8,0.15,0.55,0.33,0.58,0,0.67,0.17,0.67,0,0.33,,,,,,,,,,,,,,,,
2016,06I009715,OKEENE SR HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.93,0.19,0.94,0.11,0.44,0.19,0.44,0.14,0.76,0.6,0.93,0.24,0.86
2016,06I042105,WATONGA ELEMENTARY,0.4,0.89,0,0.93,0.17,0.83,0,0.76,0.37,0.8,0.09,0.83,0.34,0.74,0.14,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06I042505,WATONGA MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.47,0.97,0,0.91,0.35,0.85,0.18,0.85,0.65,0.88,0.28,0.78,0.33,0.93,0.16,0.63,0.21,0.74,,,,,,,,,,,,,,,,
2016,06I042705,WATONGA HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.91,0.14,0.86,0.04,0.51,0.16,0.51,0.06,0.61,0.26,0.91,0.26,0.9
2016,06I080105,GEARY ELEMENTARY,0.12,0.4,0,0.52,0.06,0.71,0.06,0.59,0.04,0.61,0.04,0.74,0.22,0.7,0.09,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06I080500,GEARY MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.1,0.52,0,0.38,0.23,0.62,0.15,0.46,0.08,0.46,0.18,0.82,0.05,0.53,0.05,0.37,0.05,0.74,,,0.25,1,,,,,,,,,,,,
2016,06I080715,GEARY HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.64,0.08,0.77,0.25,0.42,0.09,0.18,0.38,0.88,0.31,1,0.24,0.81
2016,06I105105,CANTON ELEMENTARY,0.25,0.75,0.05,0.75,0.04,0.64,0,0.64,0.13,0.26,0.09,0.65,0.17,0.48,0.09,0.48,,,0.11,0.5,0,0.5,0.05,0.62,0.14,0.76,0.33,0.71,0.29,0.82,0.12,0.59,0.18,0.47,0.12,0.65,,,,,,,,,,,,,,,,
2016,06I105705,CANTON HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7,0.14,1,0.33,0.76,0,0.5,0.31,0.92,,,0,1
2016,07I001110,SILO ELEMENTARY,0.24,0.76,0.04,0.8,0.07,0.6,0,0.78,0.23,0.79,0.15,0.83,0.52,0.94,0.21,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I001515,SILO MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.14,0.66,0.03,0.62,0.38,0.82,0.21,0.92,0.26,0.59,0.27,0.73,0.13,0.87,0.24,0.61,0.11,0.53,,,0.19,0.75,,,,,,,,,,,,
2016,07I001705,SILO HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.7,0.18,1,0.38,0.88,0.12,0.6,0.39,0.92,0.35,0.91,0.35,1
2016,07I002105,ROCK CREEK ELEMENTARY,0.25,0.75,0,0.85,0.35,0.95,0,0.95,0.26,0.7,0.11,0.7,0.59,0.85,0.22,0.7,,,0.1,0.75,0,0.55,0.13,0.88,0.29,0.88,0.63,0.83,0.15,0.54,0.19,0.92,0.31,0.65,0.08,0.5,,,,,,,,,,,,,,,,
2016,07I002705,ROCK CREEK HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.83,0.11,0.81,0.18,0.79,0.11,0.39,0.24,0.84,0.62,0.95,0.22,1
2016,07I003105,ACHILLE ELEMENTARY,0.5,0.9,0,0.9,0.23,0.77,0,0.92,0.33,0.75,0.08,0.83,0.5,0.92,0.17,0.5,,,0.04,0.57,0.04,0.65,0.45,0.91,0.18,0.82,0.09,0.36,0.22,0.67,0.23,0.82,0.09,0.36,0.14,0.55,,,,,,,,,,,,,,,,
2016,07I003705,ACHILLE HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.91,0.22,0.94,0.13,0.75,0.19,0.69,,,,,0.12,0.96
2016,07I004105,WARD EAST ELEMENTARY,,,,,0.34,0.97,0.06,0.91,0.48,0.97,0.24,0.76,0.69,0.91,0.27,0.76,,,0.2,0.8,0.1,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I004110,WARD WEST ELEMENTARY,0.45,0.88,0.05,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I004505,COLBERT MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,0.14,0.83,0.08,0.78,0.14,0.5,0.11,0.85,0.06,0.87,0.16,0.39,0.19,0.61,,,,,,,,,,,,,,,,
2016,07I004715,COLBERT HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.81,0.12,0.82,0.21,0.71,0.18,0.53,,,0,0.5,0.28,0.92
2016,07I005105,CADDO ELEMENTARY,0.48,0.95,0.05,1,0.36,1,0.09,0.95,0.39,0.96,0.13,1,0.83,1,0.35,0.87,,,0,0.79,0.03,0.66,0.05,0.77,0.09,0.91,0.18,0.36,0.32,0.82,0.29,0.96,0.25,0.75,0.21,0.86,,,,,,,,,,,,,,,,
2016,07I005715,CADDO HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.95,0.21,0.91,0,0.5,0.24,0.74,,,0,0.8,0.16,1
2016,07I040105,BENNINGTON ELEMENTARY,0.15,0.77,0,0.92,0.67,1,0.11,0.78,0.33,0.93,0.07,0.73,0.2,0.73,0.07,0.6,,,0.3,0.8,0.1,0.9,0.21,0.79,0.14,1,0.07,0.57,0.78,1,0.44,1,0.11,0.56,0.22,0.78,,,,,,,,,,,,,,,,
2016,07I040705,BENNINGTON HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9,0.13,0.93,0.05,0.32,0.2,0.47,,,,,0.1,1
2016,07I048105,CALERA ELEMENTARY,0.38,0.79,0,0.79,0.33,0.85,0.03,0.91,0.26,0.91,0.14,0.94,0.76,0.97,0.26,0.82,,,0.23,0.73,0.04,0.77,0.31,0.83,0.17,0.83,0.36,0.75,0.26,0.61,0.16,0.81,0.3,0.73,0.23,0.68,,,,,,,,,,,,,,,,
2016,07I048705,CALERA HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.91,0.13,0.79,0.24,0.71,0.24,0.63,0,0.3,0,0.47,0.32,0.96
2016,07I072105,WASHINGTON IRVING ELEMENTARY,0.44,0.94,0.09,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I072110,ROBERT E. LEE ELEMENTARY,0.3,0.95,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I072115,NORTHWEST HEIGHTS ELEMENTARY,0.48,0.91,0.15,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I072125,DURANT INTERMEDIATE ELEMENTARY SCHOOL,,,,,0.27,0.84,0.02,0.85,0.25,0.79,0.11,0.82,0.51,0.88,0.26,0.72,,,0.36,0.88,0.13,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,07I072500,DURANT MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,0.26,0.83,0.38,0.95,0.33,0.72,0.32,0.78,0.39,0.94,0.37,0.7,0.25,0.7,,,0.69,1,,,,,,,,,,,,
2016,07I072705,DURANT HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.85,0.32,0.94,0.25,0.77,0.26,0.66,0.32,0.77,0.49,0.94,0.45,0.97
2016,08I011105,HYDRO-EAKLY ELEMENTARY,0.38,0.88,0.12,0.92,0.73,1,0.09,0.91,0.71,1,0.14,1,0.57,0.9,0.33,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,08I011505,HYDRO-EAKLY MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.42,0.92,0.19,0.92,0.67,0.96,0.42,1,0.46,0.79,0.13,0.88,0.13,1,0.2,0.67,0.4,0.87,,,0.43,1,,,,,,,,,,,,
2016,08I011715,HYDRO-EAKLY HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.89,0.09,0.82,0,0.62,0.16,0.61,0,0.82,0.44,1,0.29,0.94
2016,08I012105,LOOKEBA-SICKLES ELEMENTARY,0.17,0.67,0.17,0.83,0.38,1,0.08,0.92,0.44,0.94,0,0.81,0.88,0.94,0.25,0.75,,,0.14,0.86,0,0.93,0,0.43,0.13,0.87,0.22,0.65,0,0.4,0.1,0.6,0.6,0.9,0,0.8,,,,,,,,,,,,,,,,
2016,08I012705,LOOKEBA-SICKLES HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.67,0.05,0.79,0.06,0.65,0,0.17,0.06,0.5,0.28,0.72,0,1
2016,08I020105,ANADARKO EAST ELEMENTARY,0.31,0.73,0.03,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,08I020115,SUNSET ELEMENTARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,08I020120,MISSION ELEMENTARY,,,,,0.15,0.69,0.02,0.65,0.15,0.59,0.06,0.56,0.12,0.44,0.04,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,08I020510,ANADARKO MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,0.21,0.67,0.01,0.55,0.2,0.69,0.16,0.79,0.37,0.77,0.07,0.6,0.21,0.8,0.12,0.54,0.15,0.59,,,0.79,1,,,,,,,,,,,,
2016,08I020705,ANADARKO HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.85,0.11,0.82,0.22,0.72,0.14,0.64,0.53,0.95,0.41,0.88,0.21,0.89
